date,wilaya_code,Hypertension,Diabète_type_2,Obésité,Asthme,Cancer_du_poumon,Cancer_du_sein,Cancer_de_la_prostate,Maladie_cardiovasculaire
2015-01-01,36,55685,39531,40862,32245,24441,22011,21275,34208
2015-01-01,37,54057,38673,39747,37360,24882,21724,20912,35535
2015-01-01,38,53891,39513,38573,34896,24022,22521,22469,34097
2015-01-01,39,93590,71250,70524,67978,38822,32119,31003,69854
2015-01-01,40,98109,68242,72773,61904,37145,30506,30595,60610
2015-01-01,41,97731,67105,70369,57999,38590,33596,29384,68250
2015-01-01,42,52791,39052,38482,34683,24778,21847,22022,34657
2015-01-01,43,51860,36868,39384,36977,23870,21685,21806,35421
2015-01-01,44,54359,39778,38634,35506,23780,22554,21997,33970
2015-01-01,45,51258,39461,38095,35254,24993,21977,21485,35676
2015-01-01,46,51214,38409,39691,35363,24127,22117,20429,37250
2015-01-01,47,97810,74902,65418,62027,37132,31801,29076,60975
2015-01-01,48,94742,73152,72652,62437,37634,34364,29798,68196
2015-01-01,49,54042,39141,41086,34651,24518,21955,20638,36932
2015-01-01,50,54895,40260,38357,35697,23761,21351,21788,36052
2015-01-01,51,53548,38642,38825,34996,24042,21887,21512,35137
2015-01-01,52,54243,40118,39910,37265,25768,22947,21239,34038
2015-01-01,53,50428,39194,40903,35985,25195,21326,21680,38859
2015-01-01,54,51243,37850,39602,36194,25046,21668,20536,39053
2015-01-01,55,51449,39604,41840,34352,24162,21980,21527,37271
2015-01-01,56,55838,39540,41756,35461,25514,22492,22066,37695
2015-01-01,57,52731,39379,39801,36027,24734,21184,22633,36014
2015-01-01,58,55036,39179,40511,34765,23945,22079,20531,36004
2015-02-01,1,55040,40325,33221,32529,25233,22156,21907,33358
2015-02-01,2,97658,66362,65575,58356,39032,31529,31006,60925
2015-02-01,3,99644,71848,66851,59285,35913,31756,29866,55548
2015-02-01,4,123261,95571,93821,78637,50410,42281,38562,77854
2015-02-01,5,129184,94451,97150,80606,55347,40114,39084,85619
2015-02-01,6,96718,72919,69015,61638,36820,31271,29947,63240
2015-02-01,7,139682,97966,91010,77735,54047,39299,36435,85532
2015-02-01,8,54745,40046,36687,32038,25727,21634,21558,31998
2015-02-01,9,135502,98002,88575,81040,50198,38081,39017,83672
2015-02-01,10,92573,71140,61596,61988,37170,31270,30978,61099
2015-02-01,11,52233,38925,37221,33086,23242,22560,20000,34268
2015-02-01,12,133044,96505,92026,80955,54140,40250,38441,85502
2015-02-01,13,100551,69372,67553,58017,38230,31965,31002,60878
2015-02-01,14,95602,72538,66335,58252,37753,30433,29667,54430
2015-02-01,15,90615,74915,66508,59708,39515,30116,33042,62100
2015-02-01,16,136807,100118,91033,78777,51027,38540,40509,80194
2015-02-01,17,131310,94635,90909,79160,52657,37633,39311,86317
2015-02-01,18,94527,71427,65544,56364,39351,30273,31456,61324
2015-02-01,19,130491,100775,87812,83278,52158,40090,41676,78254
2015-02-01,20,100408,71725,68326,61265,37346,30989,29280,58116
2015-02-01,21,92400,72303,61585,59105,39334,30855,30615,58447
2015-02-01,22,128522,95104,90618,84708,51100,41846,39084,82119
2015-02-01,23,132141,101642,86389,77424,47714,40608,39719,82458
2015-02-01,24,96901,71292,65109,57179,36945,31648,31024,60878
2015-02-01,25,138818,94405,87195,79281,53561,39919,35706,80660
2015-02-01,26,93238,75086,66646,58234,37082,31198,30540,62092
2015-02-01,27,94424,67413,62231,54215,39143,30994,30939,58017
2015-02-01,28,96318,68759,67755,57230,36407,31431,28880,60825
2015-02-01,29,95594,72401,66276,61438,38648,33025,29763,58787
2015-02-01,30,100677,69940,61419,59703,37947,32899,29759,60436
2015-02-01,31,130191,102177,95612,81006,53082,42319,40053,79886
2015-02-01,32,48986,39961,35892,33254,24283,21909,22326,34079
2015-02-01,33,55202,37942,36387,32292,24727,22195,22893,31655
2015-02-01,34,97905,73705,63698,57009,38281,33422,30993,59784
2015-02-01,35,52666,38898,36453,31279,24437,23047,21941,30345
2015-02-01,36,52127,40989,35780,35227,25601,22624,21095,32483
2015-02-01,37,52056,40643,37373,31190,23339,21960,21769,34187
2015-02-01,38,55309,37875,36582,35260,23888,22094,21325,31139
2015-02-01,39,95322,63158,67363,60743,38109,30538,31796,58966
2015-02-01,40,91051,70505,66416,60664,36829,28997,30248,60448
2015-02-01,41,89899,69450,64465,59142,38456,30823,31716,58350
2015-02-01,42,54290,38846,35407,29489,25377,20591,22583,32319
2015-02-01,43,54212,37621,35153,33599,24526,21834,21365,36071
2015-02-01,44,52383,39736,35549,32887,25506,21741,21895,32508
2015-02-01,45,53132,38311,35470,33740,25751,21962,21653,33880
2015-02-01,46,57647,39915,36335,32564,25681,21405,21342,31023
2015-02-01,47,98462,67616,67805,57521,36387,33364,32099,59865
2015-02-01,48,96122,69239,64247,57789,37649,32252,29154,63057
2015-02-01,49,50583,39708,37054,33763,24534,22413,20853,33639
2015-02-01,50,50693,38420,36842,32834,24521,22453,22029,33473
2015-02-01,51,55562,38473,36113,32156,23926,22580,21313,34224
2015-02-01,52,51779,40472,37190,30236,23365,22316,21953,35394
2015-02-01,53,56109,37542,35503,34424,25117,22036,21520,31228
2015-02-01,54,51910,37937,34616,31455,23640,21824,22174,31902
2015-02-01,55,53409,38506,35446,33486,24667,21584,20505,33707
2015-02-01,56,51609,38703,38803,31586,24183,21883,21453,32234
2015-02-01,57,53614,39345,36225,33267,24923,21642,21471,32799
2015-02-01,58,50419,38586,35865,33096,25026,21621,21933,33023
2015-03-01,1,49650,39600,33379,29416,23500,22640,21184,29191
2015-03-01,2,87328,75073,58193,49981,40551,30300,30842,53902
2015-03-01,3,85387,71287,58540,53010,39833,32242,30211,55958
2015-03-01,4,121055,91075,79636,81557,54012,37343,37661,73808
2015-03-01,5,115679,95627,86877,68302,57059,38202,38396,75710
2015-03-01,6,88058,72397,59686,53613,37725,32043,30501,54218
2015-03-01,7,115437,99563,81438,77061,53068,40832,38675,74487
2015-03-01,8,49048,36772,33871,29501,25422,21555,20631,30450
2015-03-01,9,124737,100692,81538,77281,54828,40578,37288,73200
2015-03-01,10,84655,68382,56058,52675,39479,29896,29588,54672
2015-03-01,11,45562,38475,33279,30185,24859,23102,21138,29657
2015-03-01,12,123141,106988,82955,71685,51285,39262,40147,75104
2015-03-01,13,86064,70242,57909,50509,38750,31920,30413,54344
2015-03-01,14,86040,65793,63214,56423,38174,30967,31791,53208
2015-03-01,15,87715,63741,57162,52574,39529,31989,29383,55091
2015-03-01,16,119517,95865,82343,74106,54672,38696,39408,73940
2015-03-01,17,117624,98218,80585,68372,55934,40021,39328,75861
2015-03-01,18,89644,71121,61415,52365,39972,30295,30606,54672
2015-03-01,19,123491,91730,79983,76451,53027,38156,38094,78306
2015-03-01,20,84377,73196,61497,50898,38347,32704,30710,56576
2015-03-01,21,83077,73885,58758,54728,38638,30095,31159,53110
2015-03-01,22,123204,96508,83808,73667,53658,41131,39221,78155
2015-03-01,23,119163,96085,84353,73719,52120,43204,37623,75834
2015-03-01,24,87570,71757,56937,53295,37925,30325,29573,54762
2015-03-01,25,122130,98668,87131,70388,54134,39858,38530,74062
2015-03-01,26,87834,66088,60763,54386,39829,29711,30470,53675
2015-03-01,27,85002,66496,59616,55114,35984,32927,31029,54528
2015-03-01,28,87891,75094,58822,52774,39957,32339,29528,54079
2015-03-01,29,97348,71061,61455,54956,38652,32356,29919,51700
2015-03-01,30,89106,74065,60183,51380,39382,31317,30187,55986
2015-03-01,31,121988,96067,85122,74689,52907,39330,37987,78107
2015-03-01,32,47505,40503,32741,28406,23728,21105,22294,28187
2015-03-01,33,47939,38377,33516,31607,23748,21771,20872,30212
2015-03-01,34,85144,68286,62297,49587,36150,31545,29522,54426
2015-03-01,35,47316,38265,35627,29082,23879,22512,20895,30905
2015-03-01,36,49177,38151,34855,29517,25103,22363,21228,29469
2015-03-01,37,47859,38923,33391,28402,25741,21243,21569,30014
2015-03-01,38,46295,37357,32568,31242,24900,22320,21843,29223
2015-03-01,39,90339,69041,60601,57804,35585,31964,32047,53765
2015-03-01,40,88449,72471,59330,52878,35333,31621,32037,54049
2015-03-01,41,85335,72303,61609,52360,36152,34826,29195,55499
2015-03-01,42,48529,39261,31863,29037,26922,22240,21694,30849
2015-03-01,43,49575,38622,33119,29201,25400,21271,20700,29640
2015-03-01,44,51756,37167,35360,27215,25011,21498,21420,31080
2015-03-01,45,46831,38409,31856,29247,24551,22042,21390,30622
2015-03-01,46,51093,41056,33679,30429,24263,21227,21382,30380
2015-03-01,47,86554,67857,58545,54949,37618,30948,30364,49856
2015-03-01,48,91161,69461,59101,55226,37553,32130,31365,56468
2015-03-01,49,47689,41117,32300,30289,24953,23041,21956,29787
2015-03-01,50,50236,37599,31430,28582,25388,21474,22007,30424
2015-03-01,51,47599,39772,31273,29717,23717,22529,21776,30155
2015-03-01,52,47841,36162,32525,29677,24502,21822,21599,28947
2015-03-01,53,49742,37833,32934,30898,23758,22393,22041,32181
2015-03-01,54,49539,39229,33581,29930,23694,22240,21924,29804
2015-03-01,55,50115,39477,35165,31449,24367,22759,20916,30765
2015-03-01,56,48006,41416,33768,30119,24506,22165,21302,32523
2015-03-01,57,47300,38551,32825,29110,24132,22558,21887,30438
2015-03-01,58,47184,38134,31968,29141,24546,21982,21048,28386
2015-04-01,1,42384,37077,29426,27248,24053,22011,20408,27117
2015-04-01,2,83071,69224,51760,47791,37685,31527,30240,51696
2015-04-01,3,79634,67676,53900,47280,40124,33004,30194,45709
2015-04-01,4,112255,96416,81159,71957,50070,42295,37003,65171
2015-04-01,5,105146,98440,72049,69445,51639,41849,39262,67559
2015-04-01,6,78289,67339,55677,48236,35932,31620,29884,48732
2015-04-01,7,96439,97378,67137,68478,53032,40287,38878,76326
2015-04-01,8,42506,39096,29508,26782,25289,21779,22146,27068
2015-04-01,9,107939,103935,74881,69621,53435,39782,38931,67947
2015-04-01,10,83065,71102,52939,51436,37246,29878,30091,49066
2015-04-01,11,42575,36257,29172,28466,25857,21459,21293,26783
2015-04-01,12,104331,93869,77056,67611,51691,37199,41410,69115
2015-04-01,13,79178,71682,55246,50072,35679,31521,33051,51078
2015-04-01,14,77736,68836,52877,49058,35668,31206,29197,46933
2015-04-01,15,79448,72543,50040,48879,33273,31165,30094,50006
2015-04-01,16,101756,99306,73246,61725,51179,40163,38814,65945
2015-04-01,17,110468,96857,73493,69566,55172,38012,37451,68276
2015-04-01,18,77120,67563,53833,48068,37459,33554,31283,49972
2015-04-01,19,112846,100394,77030,67807,53837,37117,39014,70065
2015-04-01,20,74023,68513,53822,48705,39260,31513,31451,51892
2015-04-01,21,77023,69106,52624,46746,36119,32075,29793,52162
2015-04-01,22,105338,98068,75060,65576,51929,39940,40706,68623
2015-04-01,23,108614,98245,73712,66651,53837,39010,37290,68058
2015-04-01,24,71065,65677,51540,50967,38153,31156,28769,48571
2015-04-01,25,106968,96918,72259,64615,50549,41541,39317,65502
2015-04-01,26,78615,69842,56864,48816,38371,29992,28634,48997
2015-04-01,27,79096,73015,51299,48400,39004,32935,32138,52042
2015-04-01,28,73482,70351,52474,51402,36744,30737,30531,45352
2015-04-01,29,79011,68455,54170,49904,41705,29847,31365,48079
2015-04-01,30,75185,71961,55698,49402,36448,32938,30618,49554
2015-04-01,31,114979,94673,75837,66049,54655,38697,38763,68901
2015-04-01,32,42310,37849,29046,26684,24524,22883,21621,25540
2015-04-01,33,44382,39081,29680,26687,25518,22350,21428,26792
2015-04-01,34,80645,70471,52577,52621,36806,29976,31060,47857
2015-04-01,35,42820,38478,31611,27477,24626,22332,21289,27510
2015-04-01,36,43745,40373,30359,26460,24793,21672,20212,26519
2015-04-01,37,40289,36018,30105,26736,24833,21983,22461,25408
2015-04-01,38,42034,38879,32489,27795,24321,21539,21507,25588
2015-04-01,39,77662,71407,55870,51646,38928,31865,27966,49570
2015-04-01,40,81066,68478,56281,47773,38647,30254,30491,49747
2015-04-01,41,76012,73255,55399,50714,38061,34114,29258,47893
2015-04-01,42,42882,40787,30026,26540,24431,21742,21108,27907
2015-04-01,43,44237,37970,32403,27748,23751,21782,21303,26951
2015-04-01,44,42336,37140,30299,28754,22818,21812,21134,28435
2015-04-01,45,40649,38569,29975,28529,24701,21919,21070,27133
2015-04-01,46,41372,39353,29979,27583,23449,22291,21671,25959
2015-04-01,47,74658,71542,51478,50446,35458,33275,29296,53093
2015-04-01,48,77984,70006,55530,48956,39091,32397,30534,45911
2015-04-01,49,46167,37267,30458,26271,24179,20712,21458,28063
2015-04-01,50,44455,40088,30185,26191,24266,21539,22189,27113
2015-04-01,51,42132,37519,30766,28262,23646,22787,22004,27063
2015-04-01,52,41625,41101,30118,27019,24430,22050,21654,28039
2015-04-01,53,41856,41139,28628,25486,24038,21528,21066,26874
2015-04-01,54,43751,39769,29638,27214,24602,21434,20791,27380
2015-04-01,55,43819,40034,29783,27385,23199,22126,21012,27523
2015-04-01,56,43501,40388,29812,28375,25341,21991,21342,27644
2015-04-01,57,41591,40473,29936,29228,24624,22350,22032,27283
2015-04-01,58,42950,39791,31560,25869,24963,21714,21451,25221
2015-05-01,1,41599,39965,30349,22885,26005,21053,21771,25220
2015-05-01,2,71378,70485,44671,39842,37453,31270,31125,43840
2015-05-01,3,75565,66914,48662,38580,38043,30921,32690,43555
2015-05-01,4,109291,97849,66725,54006,52180,41607,37508,58918
2015-05-01,5,99907,92538,65517,51214,52026,40576,40458,60160
2015-05-01,6,78148,69873,47600,37054,35010,30352,31117,40813
2015-05-01,7,112287,96421,64489,50180,52144,39501,38980,60474
2015-05-01,8,43687,38455,28234,22871,23699,21455,21655,24223
2015-05-01,9,104798,96863,70641,55451,49914,39310,37012,59485
2015-05-01,10,76061,68814,46318,38832,36747,32018,31613,42343
2015-05-01,11,40595,39571,28035,22006,24878,20930,21744,24330
2015-05-01,12,110857,100943,62286,54626,55085,40746,38409,60506
2015-05-01,13,80918,70289,47970,37523,37378,30047,31152,44089
2015-05-01,14,82393,66985,46989,40493,37482,32399,31371,43900
2015-05-01,15,78360,68457,49291,36445,38903,32254,29271,42705
2015-05-01,16,116258,94909,65741,56197,55581,40174,39114,57161
2015-05-01,17,117511,94157,67068,54965,55742,40954,40940,61965
2015-05-01,18,74884,70442,50012,36664,37798,29434,30258,45237
2015-05-01,19,105709,99024,63964,49101,53456,40134,38879,59058
2015-05-01,20,78208,69366,49852,37453,37116,30825,31414,42249
2015-05-01,21,70564,70692,48293,38445,39058,29921,30161,47611
2015-05-01,22,109007,96462,67435,52745,54656,41547,38994,59630
2015-05-01,23,103860,99014,64881,54345,51192,39428,35724,59180
2015-05-01,24,78152,70022,49522,40077,38060,30481,30816,43071
2015-05-01,25,108695,97678,62088,57336,53073,39657,38926,60175
2015-05-01,26,78676,72646,45724,37665,37397,32709,29460,44919
2015-05-01,27,79349,70010,50397,38576,38341,32637,32274,44079
2015-05-01,28,70141,70950,47083,39818,36982,32744,30096,42889
2015-05-01,29,78888,66726,47669,38468,37541,30000,29593,43830
2015-05-01,30,78537,73023,47684,37562,38130,34217,30523,44029
2015-05-01,31,106270,90773,66766,49909,50857,38616,37699,55638
2015-05-01,32,41223,38352,27904,23032,24393,22235,21921,25299
2015-05-01,33,42213,41368,27455,21981,25121,21099,21239,24722
2015-05-01,34,75632,70625,46429,40915,38129,32837,29464,44892
2015-05-01,35,43736,38171,28076,23497,25112,22215,21969,24069
2015-05-01,36,40670,37052,26702,22958,23634,22737,21554,24582
2015-05-01,37,45733,39206,25939,23787,24842,21447,20657,24956
2015-05-01,38,40226,39229,27047,23032,25031,21793,22083,24204
2015-05-01,39,77787,70686,47361,39014,38358,32410,30793,42913
2015-05-01,40,75338,66241,49296,42088,37589,31620,30011,41640
2015-05-01,41,74547,72405,47759,40231,37005,31971,32748,42929
2015-05-01,42,42759,36890,26277,23649,26254,22217,21538,24590
2015-05-01,43,42225,37056,27342,23337,24356,22545,20886,25281
2015-05-01,44,44970,38610,27109,22928,25395,21637,20009,24887
2015-05-01,45,41754,36615,28396,23819,23913,22250,21161,22836
2015-05-01,46,43066,39268,28227,22781,24913,22372,21002,24520
2015-05-01,47,81678,68685,49706,40718,35497,29990,32492,45586
2015-05-01,48,74744,72665,48167,40388,39384,32588,31367,43504
2015-05-01,49,42198,38844,27187,23276,24749,22278,21175,25703
2015-05-01,50,43433,35838,26391,21973,25028,22455,21398,25212
2015-05-01,51,41729,38062,26857,23229,25541,22338,22092,24999
2015-05-01,52,42742,40218,27648,23485,24525,21908,22550,24016
2015-05-01,53,44354,38974,27570,23908,24036,21992,21643,24921
2015-05-01,54,43744,38467,27898,23557,24759,21680,21103,24287
2015-05-01,55,43716,39388,27397,22999,25628,22654,20820,24589
2015-05-01,56,41875,39276,26978,23277,25440,23024,21292,24801
2015-05-01,57,43343,37220,28458,23039,22656,22030,22425,25005
2015-05-01,58,44998,37759,28160,21998,25366,21631,20740,22401
2015-06-01,1,39534,40301,27808,20594,24591,21900,21804,26018
2015-06-01,2,67336,69511,49778,33259,38156,30994,30642,41821
2015-06-01,3,68676,70245,49715,35215,37059,33285,31291,41452
2015-06-01,4,91525,98298,68934,46986,55470,40315,36550,62096
2015-06-01,5,97650,100164,68287,47143,53700,40247,40313,61323
2015-06-01,6,72138,70003,44944,34042,38889,30400,31093,44878
2015-06-01,7,94376,96282,67967,47842,53461,40333,38758,61116
2015-06-01,8,37955,38927,25941,21008,25254,22454,21590,24277
2015-06-01,9,100856,95557,67687,44886,54917,38475,39035,56443
2015-06-01,10,74189,70633,44333,33615,38242,31527,28597,42562
2015-06-01,11,39047,37103,27005,20966,24451,22505,20987,24280
2015-06-01,12,98003,98757,65720,46229,53114,40252,37115,59151
2015-06-01,13,71497,67287,46357,35099,37598,32433,31152,40800
2015-06-01,14,69084,70358,48665,36972,39713,31831,29754,41025
2015-06-01,15,66631,70764,47509,38243,37557,31030,31050,44047
2015-06-01,16,102014,96982,67087,47875,54071,38886,38441,58949
2015-06-01,17,89493,101025,64249,45629,54940,39377,37440,62020
2015-06-01,18,71233,68622,49051,36428,39309,32327,30089,43300
2015-06-01,19,92667,95226,70880,47307,54990,41605,38324,59032
2015-06-01,20,74368,66836,47482,35263,39695,32044,31697,43989
2015-06-01,21,67190,70818,46503,33963,39719,33347,28456,40314
2015-06-01,22,100305,93424,64723,47715,56183,39792,42041,58954
2015-06-01,23,97324,96177,71417,47791,51546,37420,36795,62394
2015-06-01,24,67784,74600,47532,33890,39471,31858,29848,41136
2015-06-01,25,99758,94302,69066,46877,54289,41203,37636,62898
2015-06-01,26,67717,68758,49895,32020,38347,32480,30325,40864
2015-06-01,27,70791,69501,48118,32901,38108,31724,30903,42071
2015-06-01,28,68141,71023,48647,35513,37571,31781,33000,44022
2015-06-01,29,68454,66039,46982,33807,36972,30858,31122,43696
2015-06-01,30,70486,68758,46120,35403,36068,31544,29998,43070
2015-06-01,31,91793,97104,66966,47043,53016,40781,39267,58433
2015-06-01,32,39700,37839,26736,21975,24852,21975,21633,24579
2015-06-01,33,38649,38300,27981,21282,23230,21994,22004,24351
2015-06-01,34,66183,68793,46243,35955,34754,31554,30145,43683
2015-06-01,35,37966,39010,26521,21025,24324,20937,21254,25129
2015-06-01,36,37766,40062,29283,22047,24807,22114,21676,24824
2015-06-01,37,38428,37485,28769,21259,23969,21791,21995,25336
2015-06-01,38,37217,41488,26027,21489,24139,22502,21439,23332
2015-06-01,39,71633,67841,45754,32549,36740,29925,29802,44159
2015-06-01,40,70402,71450,46250,37251,38202,31245,29304,42808
2015-06-01,41,69212,73357,50575,33845,38821,33396,29659,44306
2015-06-01,42,39302,40116,27051,21875,25559,21972,20887,25351
2015-06-01,43,37869,38264,25930,21276,23876,22703,21442,24617
2015-06-01,44,37548,38384,27452,20947,24169,21840,21692,24054
2015-06-01,45,39663,36738,25509,21736,25619,21724,20929,24261
2015-06-01,46,38608,38314,27067,22163,25933,21301,21408,24994
2015-06-01,47,70803,70583,46290,34380,38467,33155,28361,42983
2015-06-01,48,69836,69420,48701,32434,36752,32269,30611,43547
2015-06-01,49,39312,38133,26573,20983,23302,21706,20766,24480
2015-06-01,50,38940,40085,26567,20996,24506,22464,22125,24416
2015-06-01,51,37371,37799,27882,20618,23722,21783,20813,25581
2015-06-01,52,37652,37948,27199,22007,24745,22226,21518,25105
2015-06-01,53,37730,40597,27073,21112,25093,22099,21874,24769
2015-06-01,54,37471,39759,27149,21632,24280,20727,21752,23460
2015-06-01,55,38777,35654,27035,21464,24952,22770,21806,23373
2015-06-01,56,37195,39297,26493,22024,24680,22828,21567,26268
2015-06-01,57,37133,38887,28739,22084,23527,23276,22207,24753
2015-06-01,58,38930,37679,27296,21370,24741,21673,21842,25124
2015-07-01,1,38014,38669,26949,20838,24916,21247,22043,25195
2015-07-01,2,70563,64583,50885,33448,38068,32929,30337,44111
2015-07-01,3,68943,71884,48591,32627,38550,32423,30718,39645
2015-07-01,4,95325,98566,63573,46599,53939,40644,39167,60970
2015-07-01,5,97528,97801,69653,47221,52351,35879,36146,62403
2015-07-01,6,73697,70385,48497,32740,38505,33204,29671,41495
2015-07-01,7,92068,101442,64147,51087,57470,38161,40568,59830
2015-07-01,8,37285,38254,26759,22111,24649,22101,20857,25324
2015-07-01,9,93800,99230,66022,46995,48638,41617,41361,58529
2015-07-01,10,71723,70495,48237,33457,40031,30875,29369,41197
2015-07-01,11,38689,39094,28127,21069,25816,21681,20888,23411
2015-07-01,12,92582,97542,65157,46250,51358,39854,38167,61217
2015-07-01,13,70329,66341,47656,34777,35946,33757,29760,41985
2015-07-01,14,69772,71832,45272,36093,38696,31591,30720,38738
2015-07-01,15,70251,69861,52350,34269,37839,31262,30763,40944
2015-07-01,16,103150,104222,65824,44666,52442,38265,39027,61120
2015-07-01,17,91261,97803,68256,47034,53404,40427,40711,57749
2015-07-01,18,68279,64170,48420,36512,36711,31971,29613,39873
2015-07-01,19,89455,95702,70434,45304,51206,39159,38088,59909
2015-07-01,20,68730,71063,45564,33570,38470,32437,32346,41689
2015-07-01,21,64588,71410,44314,35340,38531,31748,28021,44664
2015-07-01,22,93265,90452,68886,48124,54507,39795,35959,59089
2015-07-01,23,100152,99765,61552,48601,54441,38692,35328,63117
2015-07-01,24,69339,76681,46351,33134,39377,31055,29081,43567
2015-07-01,25,96335,101389,66763,48801,56006,40202,38822,63539
2015-07-01,26,69184,72272,47021,34211,39758,31968,32296,45656
2015-07-01,27,71613,69216,48102,34950,38109,32645,29367,42297
2015-07-01,28,66350,67921,48124,32775,37525,31644,31750,42709
2015-07-01,29,73930,71990,48477,36557,37962,32871,30017,41443
2015-07-01,30,69033,68155,47679,35589,40152,34098,30193,45414
2015-07-01,31,91041,103859,66538,49396,54714,44132,39677,64178
2015-07-01,32,38545,39450,27993,21725,25107,23089,20944,25439
2015-07-01,33,40513,40522,27163,21219,24743,22509,20957,25006
2015-07-01,34,67417,69694,47037,33266,38891,34245,29873,42671
2015-07-01,35,38343,37981,27954,21711,24882,21600,21011,25769
2015-07-01,36,36461,38954,28857,20939,24351,22086,21430,24966
2015-07-01,37,39027,38892,25971,22474,24130,22496,20931,23339
2015-07-01,38,39500,36466,28607,22044,25097,21526,20700,24281
2015-07-01,39,67274,74903,48997,33751,36957,32160,31940,42953
2015-07-01,40,69674,65502,45137,33638,36215,34195,32253,43236
2015-07-01,41,68313,72507,45926,32150,36404,31419,30589,45788
2015-07-01,42,38859,38183,27960,21562,22935,21926,21487,24732
2015-07-01,43,37545,41410,26724,21702,25517,21716,21629,22876
2015-07-01,44,38898,37886,28467,21306,24876,22104,21739,25008
2015-07-01,45,37553,38882,28030,20707,24910,22614,21104,24977
2015-07-01,46,39855,40394,27681,20718,23935,21850,20631,25397
2015-07-01,47,67274,70632,47675,34828,38090,32903,30077,44108
2015-07-01,48,71809,72170,45813,34082,38929,33138,30325,43425
2015-07-01,49,38938,39286,26447,21314,24829,21799,21043,24709
2015-07-01,50,37792,36928,29096,20267,25604,21750,22480,22806
2015-07-01,51,37349,38756,28210,21298,24821,22606,20633,24380
2015-07-01,52,40158,37776,27972,20290,24282,21515,20720,23506
2015-07-01,53,38234,39330,27695,21349,24907,22325,21646,23979
2015-07-01,54,38509,39452,26265,22138,25149,21568,21189,22577
2015-07-01,55,35856,39006,26085,21684,24678,21225,20942,24138
2015-07-01,56,36492,39878,26298,20538,25509,21638,20729,24905
2015-07-01,57,38011,37888,27703,21418,23014,20956,20935,24685
2015-07-01,58,37566,38000,28298,21266,25749,22125,21837,24747
2015-08-01,1,40709,38810,28319,21656,24594,22835,22283,28718
2015-08-01,2,67587,69623,50546,31674,37721,31325,30931,48490
2015-08-01,3,68305,72442,51240,34075,38403,31164,27879,46910
2015-08-01,4,95975,92191,67904,48601,51738,39751,40260,71679
2015-08-01,5,98679,101202,67159,49444,55360,39974,37992,70463
2015-08-01,6,66782,67891,47553,32884,39067,33280,30917,46944
2015-08-01,7,99110,96812,64590,46663,51892,41551,36227,67175
2015-08-01,8,37964,40839,26515,21843,26534,21201,21576,27323
2015-08-01,9,90368,102552,65620,45723,51085,39027,36785,67269
2015-08-01,10,70231,67921,47781,34144,38918,32005,30988,51014
2015-08-01,11,38610,39411,27979,21899,24102,21313,21869,26745
2015-08-01,12,97809,102268,65408,46071,53051,41254,38871,65307
2015-08-01,13,65079,70202,47817,34013,40088,30498,30488,44660
